number,chapter,categories,strong_terms,weak_terms_in_verse,commentary_only_terms,n_categories,tamil,translation,explanation,commentary_mv,commentary_mk,label,science_concept,notes
1147,115,rain_water,rain_water:water,,,1,ஊரவர் கெளவை எருவாக அன்னைசொல் / நீராக நீளும்இந் நோய்.,Scandal manures; mother's refrain Waters the growth of this love-pain,This malady (of lust) is manured by the talk of women and watered by the (harsh) words of my mother,இந்தக் காம நோய் ஊராரின் அலர் தூற்றலே எருவாகவும் அன்னை கடிந்து சொல்லும் கடுஞ்சொல்லே நீராகவும் கொண்டு செழித்து வளர்கின்றது.,ஒருவரையொருவர் விரும்பி மலர்ந்த காதலானது ஊர்மக்கள் பேசும் பழிச்சொற்களை எருவாகவும் அன்னையின் கடுஞ்சொற்களை நீராகவும் கொண்டு வளருமே தவிரக் கருகிப் போய்விடாது,,,
1148,115,light_fire,light_fire:fire,,light_fire:தீ,1,நெய்யால் எரிநுதுப்பேம் என்றற்றால் கெளவையால் / காமம் நுதுப்பேம் எனல்.,To quench the lust by rumour free Is to quench fire by pouring ghee,To say that one could extinguish passion by rumour is like extinguishing fire with ghee,"அலர் கூறுவதால் காமத்தை அடக்குவோம் என்று முயலுதல், நெய்யால் நெருப்பை அவிப்போம் என்று முயல்வதைப் போன்றது.","ஊரார் பழிச்சொல்லுக்குப் பயந்து காதல் உணர்வு அடங்குவது என்பது, எரிகின்ற தீயை நெய்யை ஊற்றி அணைப்பதற்கு முயற்சி செய்வதைப் போன்றதாகும்",,,
1157,116,rain_water|cosmos_origin,rain_water:ocean ; cosmos_origin:இறை*,,,2,துறைவன் துறந்தமை தூற்றாகொல் முன்கை / இறைஇறவா நின்ற வளை.,Will not my gliding bangles' cry The parting of my lord betray?,Do not the rings that begin to slide down my fingers forebode the separation of my lord ?,"என் மெலிவால் முன் கையில் இறை கடந்து கழலும் வளையல்கள், தலைவன் விட்டுப் பிரிந்த செய்தியைப் பலரறியத் தெரிவித்துத் தூற்றாமலிருக்குமோ.",என்னை விட்டுத் தலைவன் பிரிந்து சென்றுள்ள செய்தியை என் முன்கை மூட்டிலிருந்து கழன்று விழும் வளையல் ஊரறியத் தூற்றித் தெரிவித்து விடுமே!,,,
1159,116,light_fire,"light_fire:தீ*,fire",,,1,தொடிற்சுடின் அல்லது காமநோய் போல / விடிற்சுடல் ஆற்றுமோ தீ.,Can fire that burns by touch burn like Parting of the hearts love-sick?,"Fire burns when touched; but, like the sickness of love, can it also burn when removed ?","நெருப்பு, தன்னைத் தொட்டால் சுடுமே அல்லாமல் காமநோய் போல் தன்னை விட்டு நீங்கிய பொழுது சுடவல்லதாகுமோ.","ஒருவரையொருவர் காணாமலும் தொடாமலும் பிரிந்திருக்கும் போது காதல் நோய் உடலையும் உள்ளத்தையும் சுடுவது போன்ற நிலை நெருப்புக்கு இல்லை; நெருப்பு தொட்டால் சுடும்; இது, பிரிவில் சுடுகிறதே!",,,
1160,116,time_season,time_season:day,,cosmos_origin:உயிர்,1,அரிதாற்றி அல்லல்நோய் நீக்கிப் பிரிவாற்றிப் / பின்இருந்து வாழ்வார் பலர்.,Many survive pangs of parting Not I this sore so distressing,"As if there were many indeed that can consent to the impossible, kill their pain, endure separation and yet continue to live afterwards","பிரிய முடியாத பிரிவிற்கு உடன்பட்டு,( பிரியும் போது) துன்பத்தால் கலங்குவதையும், விட்டு பிரிந்த பின் பொருத்திருந்து பின்னும் உயிரோடிருந்து வாழ்வோர் உலகில் பலர்.","காதலர் பிரிந்து செல்வதற்கு ஒப்புதல் அளித்து, அதனால் ஏற்படும் துன்பத்தைப் போக்கிக் கொண்டு, பிரிந்த பின்னும் பொறுத்திருந்து உயிரோடு வாழ்பவர் பலர் இருக்கலாம்; ஆனால் நான்?",,,
1161,117,cosmos_origin,cosmos_origin:இறை*,,rain_water:நீர்,1,மறைப்பேன்மன் யானிஃதோ நோயை இறைப்பவர்க்கு / ஊற்றுநீர் போல மிகும்.,It swells out like baled out spring How to bear this pain so writhing?,I would hide this pain from others; but it (only) swells like a spring to those who drain it,"இக் காமநோயைப் பிறர் அறியாமல் யான் மறைப்பேன், ஆனால் இது இறைப்பவர்க்கு ஊற்று நீர் மிகுவது போல் மிகுகின்றது.","இறைக்க இறைக்கப் பெருகும் ஊற்றுநீர் போல, பிறர் அறியாமல் மறைக்க மறைக்கக் காதல் நோயும் பெருகும்",,,
1164,117,rain_water,"rain_water:கடல்*,sea,flood",,,1,காமக் கடல்மன்னும் உண்டே அதுநீந்தும் / ஏமப் புணைமன்னும் இல்.,My lust is a sea; I do not see A raft to go across safely,There is indeed a flood of lust; but there is no raft of safety to cross it with,காமநோயாகிய கடல் இருக்கின்றது. ஆனால் அதை நீந்திக்கடந்து செல்வதற்கு வேண்டிய காவலான ‌தோணியோ இல்லை.,காதல் கடல்போலச் சூழ்ந்துகொண்டு வருத்துகிறது ஆனால் அதை நீந்திக் கடந்து செல்லப் பாதுகாப்பான தோணிதான் இல்லை,,,
1166,117,rain_water,"rain_water:கடல்*,sea",,,1,இன்பம் கடல்மற்றுக் காமம் அஃதடுங்கால் / துன்பம் அதனிற் பெரிது.,The pleasure in love is oceanful But its pangs are more painful,The pleasure of lust is (as great as) the sea; but the pain of lust is far greater,காமம் மகிழ்விக்கும்போது அதன் இன்பம் கடல் போன்றது; அது வருத்தும்போது அதன் துன்பமோ கடலைவிடப் பெரியது.,"காதல் இன்பம் கடல் போன்றது காதலர் பிரிவு ஏற்படுத்தும் துன்பமோ, கடலைவிடப் பெரியது",,,
1167,117,rain_water|time_season|vibration_sound,rain_water:flood ; time_season:night ; vibration_sound:wave,,,3,காமக் கடும்புனல் நீந்திக் கரைகாணேன் / யாமத்தும் யானே உளேன்.,Wild waves of love I swim shoreless Pining alone in midnight hush,"I have swam across the terrible flood of lust, but have not seen its shore; even at midnight I am alone; still I live",காமம் என்னும்‌ வெள்ளத்தை நீந்தியும் அதன் கரையை யான் காணவில்லை; நள்ளிரவிலும் யான் தனியே இருக்கின்றேன்.,"நள்ளிரவிலும் என் துணையின்றி நான் மட்டுமே இருக்கிறேன்; அதனால், காதலின்பக் கடும் வெள்ளத்தில் நீந்தி, அதன் கரையைக் காண இயலாமல் கலங்குகிறேன்",,,
1168,117,time_season,time_season:night,,time_season:இரவு ; cosmos_origin:உயிர்,1,மன்னுயிர் எல்லாம் துயிற்றி அளித்திரா / என்னல்லது இல்லை துணை.,Night's mercy lulls all souls to sleep Keeping but me for companionship,"The night which graciously lulls to sleep all living creatures, has me alone for her companion",இந்த இராக்காலம் இரங்கத்தக்கது; எல்லா உயிரையும் தூங்கச் செய்துவிட்டு என்னை அல்லாமல் வேறு துணை இல்லாமல் இருக்கின்றது.,`இரவே! உலகில் உள்ள எல்லா உயிர்களையும் நீ உறங்கச் செய்துவிட்டுப் பாவம் இப்போது என்னைத்தவிர வேறு துணையில்லாமல் இருக்கிறாய்.',,,
1169,117,time_season,time_season:night,,time_season:இரவு ; cosmos_origin:தோன்று,1,கொடியார் கொடுமையின் தாம்கொடிய இந்நாள் / நெடிய கழியும் இரா.,Crueller than that cruel he Are midnight hours gliding slowly,The long nights of these days are far more cruel than the heartless one who is torturing me,"( பிரிந்து துன்புறுகின்ற) இந்நாட்களில் நெடுநேரம் உடையனவாய்க் கழிகின்ற இராக்காலங்கள், பிரிந்த கொடியவரின் கொடுமையை விடத் தாம் கொடியவை.",இந்த இரவுகள் நீண்டுகொண்டே போவதுபோல் தோன்றும் கொடுமை இருக்கிறதே அது காதலரின் பிரிவால் ஏற்படும் கொடுமையைவிடப் பெரிதாக உள்ளது,,,
1170,117,rain_water,rain_water:flood,,,1,உள்ளம்போன்று உள்வழிச் செல்கிற்பின் வெள்ளநீர் / நீந்தல மன்னோஎன் கண்.,"Like heart, if my sight reaches him It won't in floods of tears swim!","Could mine eyes travel like my thoughts to the abode (of my absent lord), they would not swim in this flood of tears","காதலர் உள்ள இடத்திற்கு என் மனத்தைப்போல் செல்ல முடியுமானால், என்‌ கண்கள் இவ்வாறு வெள்ளமாகிய கண்ணீரில் நீந்த வேண்டியதில்லை.","காதலர் இருக்குமிடத்துக்கு என் நெஞ்சத்தைப் போலச் செல்ல முடியுமானால், என் கருவிழிகள், அவரைக் காண்பதற்குக் கண்ணீர் வெள்ளத்தில் நீந்த வேண்டிய நிலை ஏற்பட்டிருக்காது",,,
1172,118,time_season,time_season:day,,light_fire:தீ,1,தெரிந்துணரா நோக்கிய உண்கண் பரிந்துணராப் / பைதல் உழப்பது எவன்?,Why should these dyed eyes grieve now sans Regrets for their thoughtless glance?,"The dyed eyes that (then) looked without foresight, why should they now endure sorrow, without feeling sharply (their own fault)","ஆராய்ந்து உணராமல் அன்று நோக்கிக் காதல் கொண்ட கண்கள், இன்று அன்பு கொண்டு உணராமல் துன்பத்தால் வருந்துவது ஏன்?","விளைவுகளை உணராமல் மயங்கி நோக்கிய மைவிழிகள், இன்று, காதலரைப் பிரிந்ததால் துன்பமுறுவது தம்மால் தான் என அறியாமல் தவிப்பது ஏன்?",,,
1173,118,time_season,time_season:day,,,1,கதுமெனத் தாநோக்கித் தாமே கலுழும் / இதுநகத் தக்க துடைத்து.,Eyes darted eager glance that day It's funny that they weep today,They themselves looked eagerly (on him) and now they weep. Is not this to be laughed at ?,அன்று காதலரைக் கண்கள் தாமே விரைந்து நோக்கி இன்று தாமே அழுகின்றன; இது நகைக்கத்தக்க தன்மை உடையது.,"தாமாகவே பாய்ந்து சென்று அவரைப் பார்த்து மகிழ்ந்த கண்கள், இன்று தாமாகவே அழுகின்றன இது நகைக்கத்தக்க ஒன்றாகும்",,,
1175,118,rain_water,rain_water:sea,,rain_water:கடல்,1,படலாற்றா பைதல் உழக்கும் கடலாற்றாக் / காமநோய் செய்தஎன் கண்.,My eyes causing lust more than sea Suffer that torture sleeplessly,Mine eyes have caused me a lust that is greater than the sea and (they themselves) endure the torture of sleeplessness,"அன்று கடலும் தாங்கமுடியாத காமநோயை உண்டாக்கிய என் கண்கள், இன்று உறங்க முடியாமல் துன்பத்தால் வருந்துகின்றன.","கடல் கொள்ளாத அளவுக்குக் காதல் நோய் உருவாகக் காரணமாக இருந்த என் கண்கள், இப்போது தூங்க முடியாமல் துன்பத்தால் வாடுகின்றன",,,
1177,118,time_season,time_season:day,,,1,உழந்துழந் துள்நீர் அறுக விழைந்திழைந்து / வேண்டி அவர்க்கண்ட கண்.,Let tears dry up pining pining In eyes that eyed him longing longing,"The eyes that became tender and gazed intently on him, may they suffer so much as to dry up the fountain of their tears",அன்று விரும்பி நெகிழ்ந்து காதலரைக் கண்ட கண்கள் இன்று உறக்கமில்லாத துன்பத்தால் வருந்தி வருந்திக் கண்ணீரும் அற்றுப் போகட்டும்.,"அன்று, இழைந்து குழைந்து ஆசையுடன் அவரைக் கண்ட கண்களே! இன்று பிரிந்து சென்றுள்ள அவரை நினைத்துக் தூங்காமலும், துளிக் கண்ணீரும் அற்றுப்போகும் நிலையிலும் துன்பப்படுங்கள்",,,
1186,119,light_fire,"light_fire:light,lamp",,"light_fire:ஒளி,விளக்கு",1,விளக்கற்றம் பார்க்கும் இருளேபோல் கொண்கன் / முயக்கற்றம் பார்க்கும் பசப்பு.,Just as darkness waits for light-off Pallor looks for lover's arms-off,Just as darkness waits for the failing light; so does sallowness wait for the laxity of my husband's intercourse,"விளக்கினுடைய மறைவைப் பார்த்துக் காத்திருக்கின்ற இருளைப் போலவே, தலைவனுடைய தழுவுதலின் ‌சோர்வைப் பார்த்துக் காத்திருக்கினறது.","விளக்கின் ஒளிகுறையும் சமயம் பார்த்துப் பரவிடும் இருளைப்போல, இறுகத் தழுவிய காதலன்பிடி, சற்றுத் தளரும்போது காதலியின் உடலில் பசலைநிறம் படர்ந்து விடுகிறது",,,
1192,120,sky_stars|rain_water|time_season,"sky_stars:வானம்*,heaven ; rain_water:rain ; time_season:season",,"rain_water:மழை,மேகம் ; cosmos_origin:உயிர்",3,வாழ்வார்க்கு வானம் பயந்தற்றால் வீழ்வார்க்கு / வீழ்வார் அள஧ க்கும் அளி.,The lover-and-beloved's self-givings Are like rains to living beings,The bestowal of love by the beloved on those who love them is like the rain raining (at the proper season) on those who live by it,"தம்மை விரும்புகின்றவர்க்குக் காதலர் அளிக்கும் அன்பு, உயிர் வாழ்கினறவர்க்கு மேகம் மழை பெய்து காப்பாற்றுதலைப் போன்றது.","காதலர்கள் ஒருவரையொருவர் உரிய நேரத்தில் சந்தித்து அன்பு பொழிவது, வாழ்வதற்குத் தேவையான பருவமழை பொழிவது போன்றதாகும்",,,
1198,120,time_season,time_season:day,,cosmos_origin:உயிர்,1,வீழ்வாரின் இன்சொல் பெறாஅது உலகத்து / வாழ்வாரின் வன்கணார் இல்.,None is so firm as she who loves Without kind words from whom she dotes,There is no one in the world so hard-hearted as those who can live without receiving (even) a kind word from their beloved,தான் விரும்பும் காதலரின் இனிய சொல்லைப் பெறாமல் உலகத்தில் ( பிரிவுத் துன்பத்தைப் பொறுத்து) வாழ்கின்றவரைப் போல் வன்கண்மை உடையவர் இல்லை.,"பிரிந்து சென்ற காதலரிடமிருந்து ஓர் இனிய சொல்கூட வராத நிலையில், உலகில் வாழ்கின்றவரைப் போல், கல் நெஞ்சம் உடையவர் யாரும் இருக்க முடியாது",,,
1200,120,rain_water,rain_water:sea,,rain_water:ஆறு,1,உறாஅர்க்கு உறுநோய் உரைப்பாய் கடலைச் / செறாஅஅய் வாழிய நெஞ்சு.,You tell your grief to listless he Bless my heart! rather fill up sea!,"Live, O my soul, would you who relate your great sorrow to strangers, try rather to fill up your own sea (of sorrow)",நெஞ்சமே! நீ வாழி! அன்பு இல்லாதவரிடம் உன் மிகுந்த துன்பத்தைச் சொல்கின்றாய்! அதை விட எளிதாகக் கடலைத் தூர்ப்பாயாக.,நெஞ்சமே! நீ வாழ்க! உன்னிடம் அன்பு இல்லாதவரிடம் உனது துன்பத்தைச் சொல்லி ஆறுதல் பெறுவதைக் காட்டிலும் கடலைத் தூர்ப்பது எளிதான வேலையாகும்,,,
1201,121,light_fire,light_fire:தீ*,,,1,உள்ளினும் தீராப் பெருமகிழ் செய்தலால் / கள்ளினும் காமம் இனிது.,Love is sweeter than wine; for vast Is its delight at very thought,"Sexuality is sweeter than liquor, because when remembered, it creates a most rapturous delight",நினைத்தாலும் தீராத பெரிய மகிழ்ச்சியைச் செய்தலால் ( உண்டபோது மட்டும் மகிழ்ச்சி தரும் ) கள்ளை விட காமம் இன்பமானதாகும்.,உண்டபோது மட்டும் மகிழ்ச்சி தரும் கள்ளைவிட நினைத்தாலே நெஞ்சினிக்கச் செய்யும் காதல் இன்பமானதாகும்,,,
1210,121,moon,moon:moon,moon:மதி*,,1,விடாஅது சென்றாரைக் கண்ணினால் காணப் / படாஅதி வாழி மதி.,Hail moon! Set not so that I find Him who left me but not my mind,"May you live, O Moon! Do not set, that I mine see him who has departed without quitting my soul",தி்ங்களே! பிரியாமல் இருந்து இறுதியில் பிரிந்து சென்ற காதலரை என் கண்ணால் தேடிக் காணும்படியாக நீ மறைந்து விடாமல் இருப்பாயாக!,"நிலவே! நீ வாழ்க; இணைபிரியாமலிருந்து, பிரிந்து சென்றுள்ள காதலரை நான் என் கண்களால் தேடிக் கண்டுபிடித்திடத் துணையாக நீ மறையாமல் இருப்பாயாக",,,
1221,123,time_season,time_season:season,,,1,மாலையோ அல்லை மணந்தார் உயிருண்ணும் / வேலைநீ வாழி பொழுது.,Bless you! you are not eventide But killing dart to wedded bride!,"Live, O you evening are you (the former) evening? No, you are the season that slays (married) women",பொழுதே! நீ மாலைக்காலம் அல்ல; (காதலரோடு கூடியிருந்து பிறகு பிரிந்து வாழும்) மகளிரின் உயிரை உண்ணும் முடிவுக் காலமாக இருக்கினறாய்!,நீ மாலைப் பொழுதாக இல்லாமல் காதலரைப் பிரிந்திருக்கும் மகளிர் உயிரைக் குடிக்கும் வேலாக இருப்பதற்காக உனக்கோர் வாழ்த்து!,,,
1223,123,vibration_sound,vibration_sound:trembl,,,1,பனிஅரும்பிப் பைதல்கொள் மாலை துனிஅரும்பித் / துன்பம் வளர வரும்.,Wet eve came pale and trembling then Now it makes bold with growing pain,The evening that (once) came in with trembling and dimness (now) brings me an aversion for life and increasing sorrow,பனி தோன்றிப் பசந்த நிறம் கொண்ட மாலைப் பொழுது எனக்கு வருத்தம் ஏற்பட்டுத் துன்பம் மேன்மேலும் வளரும்படியாக வருகின்றது.,"பக்கத்தில் என் காதலர் இருந்த போது பயந்து, பசலை நிறத்துடன் வந்த மாலைப் பொழுது, இப்போது என் உயிரை வெறுக்குமளவுக்குத் துன்பத்தை மிகுதியாகக் கொண்டு வருகிறது",,,
1227,123,time_season,"time_season:day,dawn",,time_season:பகல்,1,காலை அரும்பிப் பகலெல்லாம் போதாகி / மாலை மலரும்இந் நோய்.,Budding at dawn burgeoning all day This disease blooms in evening gay,"This malady buds forth in the morning, expands all day long and blossoms in the evening","இந்த காமநோய், காலைப்பொழுதில் அரும்பாய்த் தோன்றி, பகற்பொழுதெல்லாம் பேரரும்பாய் வளர்ந்து மாலைப்பொழுதில் மலராகின்றது.","காதல் என்பது காலையில் அரும்பாகி, பகல் முழுதும் முதிர்ச்சியடைந்து, மாலையில் மலரும் ஒரு நோயாகும்",,,
1228,123,time_season,time_season:night,,"vibration_sound:ஒலி,ஓசை",1,அழல்போலும் மாலைக்குத் தூதாகி ஆயன் / குழல்போலும் கொல்லும் படை.,"A deadly arm, this shepherd's flute Hails flaming eve and slays my heart","The shepherd's flute now sounds as a fiery forerunner of night, and is become a weapon that slays (me)","ஆயனுடைய புல்லாங்குழல், நெருப்புப்போல் வருத்தும்‌ மாலைப்பொழுதிற்குத் தூதாகி என்னைக் கொல்லும்‌‌ படையாகவும் வருகின்றது.",காதலர் பிரிவால் என்னைத் தணலாகச் சுடுகின்ற மாலைப்பொழுதை அறிவிக்கும் தூதாக வருவது போல வரும் ஆயனின் புல்லாங்குழலோசை என்னைக் கொல்லும் படைக்கருவியின் ஓசைபோல் அல்லவா காதில் ஒலிக்கிறது,,,
1229,123,time_season,time_season:night,moon:மதி*,cosmos_origin:தோன்று,1,பதிமருண்டு பைதல் உழக்கும் மதிமருண்டு / மாலை படர்தரும் போழ்து.,Deluding eve if it prolongs The whole town will suffer love-pangs,"When night comes on confusing (everyone's) mind, the (whole) town will lose its sense and be plunged in sorrow","அறிவு மயங்கும்படியாக மாலைப்பொழுது வந்து படரும்போது, இந்த ஊரும் மயங்கி என்னைப் போல் துன்பத்தால் வருந்தும்.","என் அறிவை மயக்கும் மாலைப் பொழுது, இந்த ஊரையே மயக்கித் துன்பத்தில் ஆழ்த்துவது போல் எனக்குத் தோன்றுகிறது",,,
1230,123,time_season,time_season:night,cosmos_origin:உயிர்*,,1,பொருள்மாலை யாளரை உள்ளி மருள்மாலை / மாயும்என் மாயா உயிர்.,Thinking of him whose quest is wealth My life outlives the twilight stealth,My (hitherto) unextinguished life is now lost in this bewildering night at the thought of him who has the nature of wealth,"( பிரிவுத் துன்பத்தால்) மாயமாய் நின்ற என் உயிர், பொருள் காரணமாகப் பிரிந்து சென்ற காதலரை நினைந்து மயங்குகின்ற இம் மாலைப்பொழுதில் மாய்கின்றது.","பொருள் ஈட்டுவதற்கச் சென்றுள்ள காதலரை எண்ணி மாய்ந்து போகாத என்னுயிர், மயக்கும் இந்த மாலைப் பொழுதில் மாய்ந்து போகின்றது",,,
1233,124,time_season,time_season:day,,,1,தணந்தமை சால அறிவிப்ப போலும் / மணந்தநாள் வீங்கிய தோள்.,"These arms that swelled on nuptial day Now shrunk proclaim \""He is away\""",The shoulders that swelled on the day of our union (now) seem to announce our separation clearly (to the public),"கூடியிருந்த காலத்தில் மகிழ்ந்து பூரித்திருந்த தோள்கள், ( இப்போது மெலிந்தும்) காதலருடைய பிரிவை நன்றாக அறிவிப்பவை போல் உள்ளன.","தழுவிக் கிடந்த போது பூரித்திருந்த தோள், இப்போது மெலிந்து காணப்படுவது; காதலன் பிரிவை அறிவிப்பதற்காகத்தான் போலும்",,,
1238,124,time_season,time_season:day,,light_fire:ஒளி,1,முயங்கிய கைகளை ஊக்கப் பசந்தது / பைந்தொடிப் பேதை நுதல்.,The front of this fair one O paled As my clasping arms loosed their hold,"When I once loosened the arms that were in embrace, the forehead of the gold-braceleted women turned sallow","தழுவிய கை‌களைத் தளர்த்தியவுடனே, பைந்தொடி அணிந்த காதலியின் நெற்றி, ( அவ்வளவு சிறியதாகிய பிரிவையும் பொறுக்காமல்) பசலை நிறம் அடைந்தது.","இறுகத் தழுவியிருந்த கைகளைக் கொஞ்சம் தளர்த்தவே அந்தச் சிறு இடைவெளியையும் பொறுத்துக் கொள்ள முடியாமல் காதலியின் நெற்றி, பசலைநிறம் கொண்டு விட்டது",,,
1239,124,rain_water,"rain_water:rain,clouds?",,rain_water:மழை,1,முயக்கிடைத் தண்வளி போழப் பசப்புற்ற / பேதை பெருமழைக் கண்.,Cool breeze crept between our embrace Her large rain-cloud-eyes paled at once,"When but a breath of breeze penetrated our embrace, her large cool eyes became sallow","தழுவுதலுக்கு இடையே குளி்ந்த காற்று நுழைய, காதலியின் பெரிய மழை போன்ற கண்கள் பசலை நிறம் அடைந்தன.","இறுகத் தழுவியிருந்த போது, இடையே குளிர்ந்த காற்று நுழைந்ததால் அதையே ஒரு பிரிவு எனக் கருதிக் காதலியின் அகன்று நீண்ட கண்கள் பசலை நிறம் கொண்டன",,,
1241,125,light_fire,light_fire:தீ*,,,1,நினைத்தொன்று சொல்லாயோ நெஞ்சே எனைத்தொன்றும் / எவ்வநோய் தீர்க்கும் மருந்து.,"Think of, O heart, some remedy To cure this chronic malady","O my soul, will you not think and tell me some medicine be it what it may, that can cure this incurable malady?",நெஞ்சே! ( காதலால் வளர்ந்த) இத் துன்ப நோயைத் தீர்க்கும் மருந்து ஏதாவது ஒன்றை நீ நினைத்துப் பார்த்து எனக்குச் சொல்ல மாட்டாயோ?,"எந்த மருந்தினாலும் தீராத என் காதல் நோய் தீர்ந்திட ஏதாவது ஒரு மருந்தை நினைத்துப் பார்த்து, நெஞ்சே! உன்னால் சொல்ல முடியுமா?",,,
1246,125,light_fire,light_fire:fire,,,1,கலந்துணர்த்தும் காதலர்க் கண்டாற் புலந்துணராய் / பொய்க்காய்வு காய்திஎன் நெஞ்சு.,"Wrath is false, O heart, face-to face Sans huff, you rush to his sweet embrace","O my soul! when you see the dear one who remove dislike by intercourse, you are displeased and continue to be so Nay, your displeasure is (simply) false",என் நெஞ்சே! ஊடியபோது கூடி ஊடல் உணர்த்த வல்ல காதலரைக் கண்டபோது நீ பிணங்கி உணர மாட்டாய்; பொய்யான சினங்கொண்டு காய்கினறாய்.,நெஞ்சே! கூடிக் கலந்து ஊடலை நீக்கும் காதலரைக் கண்டால் ஒரு தடவைகூடப் பிணங்கியறியாத நீ இப்போது அவர் மீது கொள்ளுகிற கோபம் பொய்யானது தானே?,,,
1248,125,time_season,time_season:year,,,1,பரிந்தவர் நல்காரென்று ஏங்கிப் பிரிந்தவர் / பின்செல்வாய் பேதைஎன் நெஞ்சு.,"Without pity he would depart! You sigh and seek his favour, poor heart!","You are a fool, O my soul! to go after my departed one, while you mourn that he is not kind enough to favour you",என் நெஞ்சே! பிரிவுத் துன்பத்தால் வருந்தி அவர் வந்து அன்பு செய்ய வில்லையே என்று ஏங்கி பிரிந்தவரின் பின் செல்கின்றாய் பேதை.,நம்மீது இரக்கமின்றிப் பிரிந்து விட்டாரேயென்று ஏங்கிடும் அதே வேளையில் பிரிந்தவர் பின்னாலேயே சென்று கொண்டிருக்கும் என் நெஞ்சம் ஓர் அறிவற்ற பேதை போன்றதாகும்,,,
1259,126,light_fire,light_fire:heat,,,1,புலப்பல் எனச்சென்றேன் புல்லினேன் நெஞ்சம் / கலத்தல் உறுவது கண்டு.,In huff I went and felt at ease Heat to heart in sweet embrace,I said I would feign dislike and so went (away); (but) I embraced him the moment I say my mind began to unite with him!,ஊடுவேன் என்று எண்ணிக் கொண்டு சென்றேன்; ஆனால் என் நெஞ்சம் என்னை விட்டு அவரோடு கூடுவதை கண்டு தழுவினேன்.,ஊடல் கொண்டு பிணங்குவோம் என நினைத்துதான் சென்றேன்; ஆனால் என் நெஞ்சம் என்னை விடுத்து அவருடன் கூடுவதைக் கண்டு என் பிடிவாதத்தை மறந்து தழுவிக் கொண்டேன்,,,
1260,126,light_fire,light_fire:fire,,light_fire:தீ ; vibration_sound:இசை,1,நிணந்தீயில் இட்டன்ன நெஞ்சினார்க்கு உண்டோ / புணர்ந்தூடி நிற்பேம் எனல்.,To feign dislike is it not rare For mates who melt like fat in fire?,Is it possible for those whose hearts melt like fat in the fire to say they can feign a strong dislike and remain so?,"கொழுப்பைத் தீயில் இட்டால் போன்ற உருகும் நெஞ்சுடைய என்னைப் போன்றவர்க்கு, இசைந்து ஊடி நிற்போம் என்று ஊடும் தன்மை உண்டோ?","நெருப்பிலிட்ட கொழுப்பைப் போல் உருகிடும் நெஞ்சம் உடையவர்கள், கூடிக் களித்தபின் ஊடல் கொண்டு அதில் உறுதியாக இருக்க முடியுமா?",,,
1262,127,time_season,time_season:day,,light_fire:ஒளி,1,இலங்கிழாய் இன்று மறப்பின்என் தோள்மேல் / கலங்கழியும் காரிகை நீத்து.,"Beauty pales and my bracelets slide; Why not forget him now, bright maid?","O you bright-jewelled maid, if I forget (him) today, my shoulders will lose their beauty even in the other life and make my bracelets loose","தோழி! காதலரின் பிரிவால்துன்புற்று வருந்துகின்ற இன்றும் அவரை மறந்து விட்டால், அழகு கெட்டு என் தோள் மேல் அணிந்துள்ள அணிகள் கழலுமாறு நேரும்.","காதலரைப் பிரிந்திருக்கும் நான், பிரிவுத் துன்பம் வாராதிருக்க அவரை மறந்திருக்க முனைந்தால், என் தோள்கள் அழகு நீங்கி மெலிந்து போய் வளையல்களும் கழன்று விழுவது உறுதியடி என் தோழி",,,
1266,127,time_season,time_season:day,,light_fire:தீ,1,வருகமன் கொண்கன் ஒருநாள் பருகுவன் / பைதல்நோய் எல்லாம் கெட.,Let my spouse return just a day Joy-drink shall drive my pain away,May my husband return some day; and then will I enjoy (him) so as to destroy all this agonizing sorrow,"என் காதலன் ஒருநாள் என்னிடம் வருவானாக; வந்த பிறகு, என்னுடைய துன்பநோய் எல்லொம் தீருமாறு நான் நன்றாக நுகர்வேன்.","என்னை வாடவிட்டுப் பிரிந்துள்ள காதலன், ஒருநாள் வந்துதான் ஆகவேண்டும் வந்தால் என் துன்பம் முழுவதும் தீர்ந்திட அவனிடம் இன்பம் துய்ப்பேன்",,,
1268,127,time_season,time_season:night,,,1,வினைகலந்து வென்றீக வேந்தன் மனைகலந்து / மாலை அயர்கம் விருந்து.,May the king fight and win and give And with my wife I will feast this eve!,Let the king fight and gain (victories); (but) let me be united to my wife and feast the evening,அரசன் இச் செயலில் முனைந்து நின்று வெற்றி பெறுவானாக; அதன்பின் யாம் மனைவியோடு கூடியிருந்து அனறு வரும் மாலைப் பொழுதிற்கு விருந்து செய்வோம்.,"தலைவன், தான் மேற்கொண்டுள்ள செயலில் வெற்றி பெறுவானாக; அவன் வெண்றால் என் மனைவியுடன் எனக்கு மாலைப்பொழுதில் இன்ப விருந்துதான்",,,
